(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
1850287,11771.81,3.2447735715663E+023,-6.32574855084682,-0.000747350374064849,3.24379453481152E+023,-6.32383989984353
1863119,11762.15,3.31021218155776E+023,-6.36473559250605,-0.000752805486284278,3.30920623334091E+023,-6.36280139793819
1875952,11752.42,3.37650918659128E+023,-6.40368875847386,-0.000758201511727543,3.37547575420565E+023,-6.40172881138508
1888784,11742.63,3.44365860614545E+023,-6.44260082148601,-0.000762936408977624,3.4425971418049E+023,-6.44061497102447
1901616,11732.76,3.51166994845088E+023,-6.4814737885378,-0.000769170822942564,3.51057983690965E+023,-6.47946177445765
1914449,11722.82,3.58055284772228E+023,-6.52030947014826,-0.000774565573131809,3.57943349195162E+023,-6.51827108492053
1927281,11712.82,3.65030082435079E+023,-6.5591007256567,-0.00077930174563591,3.64915165353176E+023,-6.557035819909
1940114,11702.74,3.72092903326354E+023,-6.59785264076552,-0.000785474947401226,3.71974940405554E+023,-6.59576095355096
1952946,11692.59,3.79243059818316E+023,-6.63655802067103,-0.000790991271820421,3.79121989353335E+023,-6.63443934995409
1965778,11682.38,3.86481514350644E+023,-6.67521885496029,-0.000795667082294338,3.86357276667975E+023,-6.67307305059176
1978611,11672.09,3.93809260332244E+023,-6.71383725338992,-0.00080183900880535,3.9368178846045E+023,-6.71166405563196
1991443,11661.73,4.01225558663786E+023,-6.75240609786353,-0.000807356608478848,4.01094788393442E+023,-6.75020530593533
2004276,11651.29,4.08731971048174E+023,-6.79093042577468,-0.00081352762409403,4.08597833578532E+023,-6.78870178136134
2017108,11640.79,4.16327723472298E+023,-6.82940316882996,-0.000818266832917706,4.16190156122228E+023,-6.82714652618156
2029940,11630.21,4.24013802479457E+023,-6.86782649341067,-0.000824501246882929,4.2387273491131E+023,-6.86554159707896
2042773,11619.57,4.31791206756872E+023,-6.90620235934001,-0.000829112444479032,4.31646574102075E+023,-6.9038890598421
2055605,11608.85,4.39659122900994E+023,-6.9445239826434,-0.000835411471321645,4.39510853273643E+023,-6.94218202741171
2068437,11598.05,4.4761853487245E+023,-6.98279334712378,-0.000841645885286868,4.47466555146233E+023,-6.98042248233949
2081270,11587.18,4.55670451972936E+023,-7.02101244427078,-0.000847034987921685,4.55514691232464E+023,-7.01861246838372
2094102,11576.24,4.63814000590322E+023,-7.05917444986573,-0.000852556109725725,4.6365438762035E+023,-7.05674516614841
2106935,11565.23,4.72050827750409E+023,-7.09728445663979,-0.000857944362191243,4.71887289838063E+023,-7.0948256640371
2119767,11554.14,4.80380023919576E+023,-7.13533568216473,-0.000864245635910236,4.80212484455185E+023,-7.13284713089508
2132599,11542.98,4.88802590281998E+023,-7.17333015547139,-0.000869700748129665,4.88630975008612E+023,-7.17081164791805
2145432,11531.74,4.97319561259997E+023,-7.21127001676436,-0.000875866905633896,4.97143790985111E+023,-7.20872129957755
2158264,11520.43,5.05929965192629E+023,-7.24914843831836,-0.000881390274314175,5.05749964105994E+023,-7.24656931732167
2171097,11509.04,5.14635503472354E+023,-7.28697052774665,-0.000887555520922576,5.14451190392821E+023,-7.28436075059492
2183929,11497.58,5.2343516736112E+023,-7.32472949748774,-0.000893079800498827,5.23246464591491E+023,-7.32208887104697
2196761,11486.04,5.32329982950779E+023,-7.36242751734962,-0.000899314214463767,5.32136807647796E+023,-7.3597557926452
2209594,11474.42,5.41320995129553E+023,-7.40006665009711,-0.000905478064365371,5.41123263059851E+023,-7.39736357649047
2222426,11462.73,5.50407138862483E+023,-7.43764016724352,-0.000911003740648419,5.50204769432491E+023,-7.43490555336435
2235259,11450.97,5.59590170524175E+023,-7.47515317943913,-0.000916387438634787,5.59383081463066E+023,-7.47238682910792
2248091,11439.12,5.68868995324403E+023,-7.51259910311304,-0.00092347256857844,5.68657096021178E+023,-7.50980071802184
2260923,11427.2,5.78244640856143E+023,-7.54997991589099,-0.000928927680798011,5.78027847394759E+023,-7.54714930378721
2273756,11415.2,5.87718177827033E+023,-7.58729780927969,-0.000935089223096704,5.87496400777298E+023,-7.58443472185602
2286588,11403.13,5.97288445895213E+023,-7.62454614882547,-0.000940617206982663,5.97061599734818E+023,-7.62165039714888
2299420,11390.97,6.06956499473066E+023,-7.66172713703732,-0.000947630922693256,6.06724488816955E+023,-7.65879842247285
2312253,11378.74,6.16723403189407E+023,-7.69884275842675,-0.000953011766539357,6.16486139651943E+023,-7.69588088823048
2325085,11366.43,6.26587947064318E+023,-7.73588654149455,-0.000959320448877766,6.26345337744036E+023,-7.73289127453417
2337918,11354.04,6.36551968079003E+023,-7.77286347221584,-0.000965479622847301,6.36303918144364E+023,-7.76983456275845
2350750,11341.57,6.46614208538963E+023,-7.80976700748224,-0.000971789276808071,6.46360622906268E+023,-7.8067042156635
2363582,11329.03,6.56775731466594E+023,-7.84659925314002,-0.000977244389027358,6.56516518009694E+023,-7.84350239066496
2376415,11316.4,6.67037636435466E+023,-7.88336241723217,-0.00098418140730936,6.66772692488336E+023,-7.88023118588719
2389247,11303.69,6.7739859740262E+023,-7.92004990250863,-0.000990492518703174,6.77127824561082E+023,-7.91688406421867
2402080,11290.91,6.87860507111744E+023,-7.95666667402135,-0.000995870022598041,6.87583809570207E+023,-7.95346603946715
2414912,11278.04,6.98422017892334E+023,-7.99320638533847,-0.00100296134663334,6.98139290365609E+023,-7.98997066336231
